source_group,n,n_models,n_mean,pcc,pcc_std
Crystal,285,5,285.0,0.8393052648286841,0.0133646845236685
GNINA-Crystal,282,5,282.8,0.7916397612721584,0.04500624396064705
GNINA-Apo,282,5,283.4,0.5733869027134122,0.07092852363884987
GNINA-AF3,284,5,284.6,0.5166377368242809,0.051692012597250245
AlphaFold3,270,5,279.0,0.6796605243374578,0.05762127706976794
