method,model,n_poses,source_a,source_b,n_targets,delta_pcc_a_minus_b,delta_pcc_ci_low,delta_pcc_ci_high,delta_pcc_p_two_sided,n_boot_pcc,delta_rmse_a_minus_b,delta_rmse_ci_low,delta_rmse_ci_high,delta_rmse_p_two_sided,n_boot_rmse
median,ehign_pla,20,gnina-apo,gnina-af3,284,0.003939632051392528,-0.07134503548862957,0.07656723391091129,0.914,20000,-0.13217347082467734,-0.24354444970786485,-0.019155896089291368,0.0228,20000
median,ehign_pla,20,gnina-apo,alphafold3,270,-0.19547305752668231,-0.28501805704967736,-0.10893331360407521,0.0,20000,0.6796717453483713,0.49905169600165883,0.8619946673332469,0.0,20000
median,ehign_pla,20,gnina-af3,alphafold3,270,-0.2039118157644289,-0.28945541120509205,-0.12191146179865338,0.0,20000,0.8125972097767654,0.6364738606713511,0.9886673436887435,0.0,20000
median,ehign_pla,30,gnina-crystal,gnina-apo,282,0.1719424938666373,0.10120952260749375,0.2450500507160083,0.0,20000,-0.5247548085910075,-0.6680896473986064,-0.38355736931064366,0.0,20000
median,ehign_pla,30,gnina-crystal,gnina-af3,282,0.18977752229796235,0.1272868451559024,0.2574023047522928,0.0,20000,-0.6728247143465749,-0.8083833043728821,-0.5375695585927619,0.0,20000
median,ehign_pla,30,gnina-crystal,alphafold3,269,-0.0063764340759178695,-0.0696147296544407,0.055657465097282977,0.8449,20000,0.17126609480384813,0.02210388840771887,0.3251144868021266,0.0262,20000
median,ehign_pla,30,gnina-apo,gnina-af3,284,0.014080748318395786,-0.05003978195759761,0.07981909485148968,0.6778,20000,-0.14404153287405164,-0.2474293044596203,-0.04264653261338859,0.005,20000
median,ehign_pla,30,gnina-apo,alphafold3,270,-0.18210001265036813,-0.26822184162863655,-0.09745580084143991,0.0,20000,0.6814464653829139,0.5036997148630511,0.8597622919734221,0.0,20000
median,ehign_pla,30,gnina-af3,alphafold3,270,-0.1986104346383769,-0.2827986735961555,-0.11835253232913089,0.0,20000,0.8245697226236229,0.6491475207684001,0.9997754396982648,0.0,20000
median,ehign_pla,50,gnina-crystal,gnina-apo,282,0.16578089870271756,0.09584556027668652,0.23968620317817682,0.0,20000,-0.4872242865971592,-0.6268918275347872,-0.3525932048078989,0.0,20000
median,ehign_pla,50,gnina-crystal,gnina-af3,282,0.18503478980328403,0.12549877823691596,0.2492698728149178,0.0,20000,-0.6151069039835743,-0.7396821469884192,-0.49026186689849865,0.0,20000
median,ehign_pla,50,gnina-crystal,alphafold3,269,-0.017118475616710427,-0.08095397828896868,0.0472696666733511,0.6065,20000,0.25233829197250923,0.10008066329311138,0.40530028831551196,0.0016,20000
median,ehign_pla,50,gnina-apo,gnina-af3,284,0.017387550160973875,-0.04835791888247072,0.08235043479502206,0.6015,20000,-0.1254364077932122,-0.2239891842741443,-0.026474688794448052,0.0129,20000
median,ehign_pla,50,gnina-apo,alphafold3,270,-0.18478498543330207,-0.274637679208895,-0.09638140788541807,0.0001,20000,0.7218151453523323,0.5369701800705107,0.9070068029047585,0.0,20000
median,ehign_pla,50,gnina-af3,alphafold3,270,-0.20466138074802986,-0.2879067513078938,-0.12385974511874798,0.0,20000,0.8497556095877044,0.6753527481997179,1.0228330203809155,0.0,20000
median,ehign_pla,100,gnina-crystal,gnina-apo,282,0.11894292410781998,0.05326237664565977,0.18901170875468504,0.0003,20000,-0.3825709125587303,-0.5131257146430156,-0.2617859866327324,0.0,20000
median,ehign_pla,100,gnina-crystal,gnina-af3,282,0.1386542008945885,0.07881746967306433,0.2027922258970955,0.0,20000,-0.47719315686340147,-0.5918119552248359,-0.36622479070390296,0.0,20000
median,ehign_pla,100,gnina-crystal,alphafold3,269,-0.06019008898729322,-0.13049509736433043,0.009934140929700788,0.0876,20000,0.42069401171876963,0.2610461298502765,0.5816536078866814,0.0,20000
median,ehign_pla,100,gnina-apo,gnina-af3,284,0.01934298074227825,-0.044919915723693825,0.08086071697130297,0.5553,20000,-0.09321886001504254,-0.18080059079240773,-0.001964296651208051,0.0462,20000
median,ehign_pla,100,gnina-apo,alphafold3,270,-0.18168894975195315,-0.2700289704365211,-0.09286989084856602,0.0,20000,0.7845907929170447,0.5994750999800548,0.9688428338114419,0.0,20000
median,ehign_pla,100,gnina-af3,alphafold3,270,-0.20413578418737344,-0.2873088951837225,-0.12337369905461185,0.0,20000,0.8852099315421379,0.7112749153207878,1.0589926554144515,0.0,20000
median,gign,1,gnina-crystal,gnina-apo,280,0.33245384534184047,0.24316654972970012,0.42737001059838237,0.0,20000,-0.8168187333671856,-0.998474273581968,-0.6294100533953408,0.0,20000
median,gign,1,gnina-crystal,gnina-af3,282,0.3528318570659389,0.27048550520891856,0.44078249378109763,0.0,20000,-0.9940893180519036,-1.1727701140145086,-0.8167155252382821,0.0,20000
median,gign,1,gnina-crystal,alphafold3,269,0.10089419958754042,0.04580689044901787,0.1601656729240804,0.0004,20000,-0.2848264080053726,-0.42047626867578064,-0.14520598221160194,0.0,20000
median,gign,1,gnina-apo,gnina-af3,282,0.012216088611633008,-0.08953403671856226,0.11252095020754989,0.8101,20000,-0.1505009252229561,-0.3075092245552903,0.006821210975106688,0.0598,20000
median,gign,1,gnina-apo,alphafold3,268,-0.235450125682295,-0.3317619820042802,-0.14389678591884836,0.0,20000,0.5487103286662258,0.3670650465798238,0.7307138637978035,0.0,20000
median,gign,1,gnina-af3,alphafold3,270,-0.23955549046706454,-0.3392310787001419,-0.14224099268850068,0.0,20000,0.6849346366490209,0.4958205290571594,0.876900683047756,0.0,20000
median,gign,2,gnina-crystal,gnina-apo,281,0.27953868793825903,0.20090855521342266,0.3634793107301317,0.0,20000,-0.7234918499325544,-0.8885016537080462,-0.559945043791261,0.0,20000
median,gign,2,gnina-crystal,gnina-af3,282,0.3066467552869667,0.22609018561281055,0.393080860129293,0.0,20000,-0.9074413249584733,-1.071480498581359,-0.7463919425955906,0.0,20000
median,gign,2,gnina-crystal,alphafold3,269,0.08633204816554546,0.031715770815043925,0.14636112696158948,0.0021,20000,-0.21821122087788047,-0.35402183314440827,-0.0838916543942233,0.0017,20000
median,gign,2,gnina-apo,gnina-af3,283,0.02442190361521898,-0.056048039463652666,0.10271316004400106,0.564,20000,-0.16562286970535045,-0.28811054941403785,-0.04191389578865897,0.0084,20000
median,gign,2,gnina-apo,alphafold3,269,-0.19152115781811613,-0.2851008540267596,-0.10256014314600177,0.0001,20000,0.5058329706787474,0.3250884830881087,0.6893759554790965,0.0,20000
median,gign,2,gnina-af3,alphafold3,270,-0.20475394772193745,-0.30040009609198765,-0.1120670038279882,0.0,20000,0.6551139892494379,0.4792350488282871,0.8331328046941623,0.0,20000
median,gign,3,gnina-crystal,gnina-apo,281,0.27974225939572134,0.20533287684265444,0.36115201426010163,0.0,20000,-0.7207700129999478,-0.8722596215502959,-0.5716349613164856,0.0,20000
median,gign,3,gnina-crystal,gnina-af3,282,0.3280668581588587,0.24807715295685026,0.4140842357677089,0.0,20000,-0.9459043596071391,-1.0954592507996352,-0.7944311181115143,0.0,20000
median,gign,3,gnina-crystal,alphafold3,269,0.09037588958823217,0.030937942184715024,0.15507439765881334,0.0028,20000,-0.21413776692385011,-0.36033924215938934,-0.06917255908716823,0.004,20000
median,gign,3,gnina-apo,gnina-af3,283,0.04952455073670592,-0.0341881703826539,0.13415584916897544,0.2458,20000,-0.21239605298607322,-0.33738458832084056,-0.08507545644103734,0.0008,20000
median,gign,3,gnina-apo,alphafold3,269,-0.18562818249143453,-0.28320348299423853,-0.09087421246460495,0.0003,20000,0.5033638515118413,0.3150515395761397,0.6916298304237982,0.0,20000
median,gign,3,gnina-af3,alphafold3,270,-0.22131885377880367,-0.32673175182190006,-0.12185598085825697,0.0,20000,0.7023834819042146,0.5128402409896609,0.8951901746145451,0.0,20000
median,gign,5,gnina-crystal,gnina-apo,281,0.28000161351158026,0.21373727253838803,0.35292018250625246,0.0,20000,-0.6986273609130077,-0.8313574240920081,-0.5686750848454469,0.0,20000
median,gign,5,gnina-crystal,gnina-af3,282,0.32680486787425056,0.2548899745733532,0.40597215341024684,0.0,20000,-0.8982041886326193,-1.0339591693034222,-0.7638065020651407,0.0,20000
median,gign,5,gnina-crystal,alphafold3,269,0.0763814753006552,0.02129506193349867,0.13557467559154662,0.0049,20000,-0.14629913096346048,-0.2815061308881687,-0.008520547563018682,0.0381,20000
median,gign,5,gnina-apo,gnina-af3,283,0.04680559161475181,-0.025708691221383438,0.12085617248214249,0.2045,20000,-0.18486772288983522,-0.29431128662509537,-0.0765583181266758,0.0008,20000
median,gign,5,gnina-apo,alphafold3,269,-0.19293218005125545,-0.2879497817705362,-0.10052540967375424,0.0002,20000,0.5303360847352229,0.3442965527250949,0.7160890486516044,0.0,20000
median,gign,5,gnina-af3,alphafold3,270,-0.23061152290058642,-0.3287706102123685,-0.13626046748732892,0.0,20000,0.7113695043292547,0.5286234385286949,0.8955812061509729,0.0,20000
median,gign,10,gnina-crystal,gnina-apo,281,0.21737152932249376,0.150258043549874,0.29204270823079004,0.0,20000,-0.5512640647062184,-0.6806518166926115,-0.4244104779920852,0.0,20000
median,gign,10,gnina-crystal,gnina-af3,282,0.2539530630930526,0.17883377303238748,0.3349123210609348,0.0,20000,-0.7340907801844072,-0.8699955234254297,-0.5944135080795964,0.0,20000
median,gign,10,gnina-crystal,alphafold3,269,0.0326696357879212,-0.030912643558208563,0.09888231382906507,0.3119,20000,0.010034681197326312,-0.1434004428370956,0.16447660634909866,0.9006,20000
median,gign,10,gnina-apo,gnina-af3,283,0.03038199016253229,-0.038996115256863396,0.0984074086094881,0.3882,20000,-0.16282943120822813,-0.26016888976397146,-0.06579011758065768,0.0012,20000
median,gign,10,gnina-apo,alphafold3,269,-0.18113287929199542,-0.2762488704185335,-0.08906470263230216,0.0001,20000,0.5430625674040054,0.3590145476876586,0.728228322760706,0.0,20000
median,gign,10,gnina-af3,alphafold3,270,-0.20935544110110038,-0.3104131868028619,-0.11153117777805546,0.0,20000,0.7093378480800674,0.5212601948605595,0.8996763682481289,0.0,20000
median,gign,20,gnina-crystal,gnina-apo,282,0.19407777731145082,0.1188090022799513,0.2807351225707389,0.0,20000,-0.4689149028112345,-0.610604301873723,-0.34013176960458863,0.0,20000
median,gign,20,gnina-crystal,gnina-af3,282,0.22013640570228865,0.14540183607971924,0.29902723387063407,0.0,20000,-0.5739457343963257,-0.6936779142910351,-0.45088478943167576,0.0,20000
median,gign,20,gnina-crystal,alphafold3,269,-0.01425351291096938,-0.08440292687705869,0.05761213007761156,0.6857,20000,0.19440322151433576,0.027144153208498074,0.3663939573544021,0.0236,20000
median,gign,20,gnina-apo,gnina-af3,284,0.023290461656916395,-0.058976630711804055,0.09696774144376841,0.5693,20000,-0.10166283830071299,-0.2024757629692957,0.005082107875509701,0.0622,20000
median,gign,20,gnina-apo,alphafold3,270,-0.20234836515120447,-0.3012731156649292,-0.10688536692340177,0.0,20000,0.6377521587514503,0.4470375783719222,0.8267835513126367,0.0,20000
median,gign,20,gnina-af3,alphafold3,270,-0.22657447369639702,-0.32819781797394465,-0.12676834016556526,0.0,20000,0.7390722625252076,0.5526306959320402,0.9274355296605244,0.0,20000
median,gign,30,gnina-crystal,gnina-apo,282,0.1607949654021829,0.0885955977922556,0.23749652318355285,0.0,20000,-0.3944696100471813,-0.5137813317202145,-0.2774106430179597,0.0,20000
median,gign,30,gnina-crystal,gnina-af3,282,0.21457907073944726,0.14204391698898647,0.2902321182059503,0.0,20000,-0.503696056748295,-0.6163547359243551,-0.3879657530935219,0.0,20000
median,gign,30,gnina-crystal,alphafold3,269,-0.03810464288603649,-0.11325414594548308,0.03786809295976597,0.3161,20000,0.2896459973329446,0.11446725560039162,0.4679941387386776,0.001,20000
median,gign,30,gnina-apo,gnina-af3,284,0.04920923769415678,-0.016251333175385387,0.11550846023319714,0.1427,20000,-0.10557295729421501,-0.19436245810636155,-0.019948977569066908,0.0151,20000
median,gign,30,gnina-apo,alphafold3,270,-0.19159498678552234,-0.2835270322108647,-0.10081250142151703,0.0,20000,0.6563533510362469,0.47137196160519973,0.8354947818319739,0.0,20000
median,gign,30,gnina-af3,alphafold3,270,-0.24413925769673128,-0.34625498220378864,-0.14293337927554986,0.0,20000,0.76466931350273,0.5737624707159773,0.9533546176324463,0.0,20000
median,gign,50,gnina-crystal,gnina-apo,282,0.15235349587803682,0.08035787590132151,0.2303951999471104,0.0,20000,-0.3530634042462748,-0.46450749024089316,-0.24438709281862386,0.0,20000
median,gign,50,gnina-crystal,gnina-af3,282,0.20622771428327075,0.1350637983510893,0.2807544372570145,0.0,20000,-0.452271981711573,-0.5589846080258031,-0.34358513741266616,0.0,20000
median,gign,50,gnina-crystal,alphafold3,269,-0.04934244601989751,-0.12434027709961648,0.025279172174595757,0.1905,20000,0.3495509646278716,0.17921235078427888,0.52364446640057,0.0001,20000
median,gign,50,gnina-apo,gnina-af3,284,0.04854479108701529,-0.01457218346280928,0.11276352707036712,0.1347,20000,-0.09553204029670015,-0.18061975123153481,-0.013252525510805,0.0216,20000
median,gign,50,gnina-apo,alphafold3,270,-0.19756005933279625,-0.29255263819158966,-0.10416164074638287,0.0001,20000,0.6816156046180917,0.4990741968767442,0.862173394051104,0.0,20000
median,gign,50,gnina-af3,alphafold3,270,-0.24864285866914718,-0.3514963315344111,-0.14649673884128106,0.0,20000,0.7791629382191989,0.5885296322259794,0.9685220692876393,0.0,20000
median,gign,100,gnina-crystal,gnina-apo,282,0.1249339159842287,0.049379329970869176,0.20658239036476236,0.0015,20000,-0.2781030089541163,-0.3867077806166169,-0.17685741845359618,0.0,20000
median,gign,100,gnina-crystal,gnina-af3,282,0.1640419545300873,0.09579029093154254,0.23662130632586645,0.0,20000,-0.33392960643981373,-0.43298855224229266,-0.2379132524363381,0.0,20000
median,gign,100,gnina-crystal,alphafold3,269,-0.07472773648918946,-0.15624414478021806,0.005953957834449423,0.069,20000,0.45736353251913164,0.2874004573775557,0.6327816262004808,0.0,20000
median,gign,100,gnina-apo,gnina-af3,284,0.03564362980955571,-0.024004833294912646,0.09530114146116433,0.2442,20000,-0.05342347258742941,-0.13058998104051733,0.02170637733037517,0.1659,20000
median,gign,100,gnina-apo,alphafold3,270,-0.19680341506256754,-0.29640459520536877,-0.10009336409001762,0.0001,20000,0.7170637397110218,0.5345988521155454,0.8947033369230115,0.0,20000
median,gign,100,gnina-af3,alphafold3,270,-0.23743678954198663,-0.33911437040126746,-0.13780048363420913,0.0,20000,0.7789148930294761,0.5956000366237585,0.9608241502952973,0.0,20000
median,onionnet-2,1,gnina-crystal,gnina-apo,284,0.1830037332461723,0.11322774068411066,0.2532304805505311,0.0,20000,-0.45714979684841406,-0.5985693406196698,-0.3104571039794055,0.0,20000
median,onionnet-2,1,gnina-crystal,gnina-af3,284,0.2560924791719573,0.17467410809802228,0.33842520156064854,0.0,20000,-0.7801864769016174,-0.9391808935904633,-0.614556307284695,0.0,20000
median,onionnet-2,1,gnina-crystal,alphafold3,284,0.1862988117578145,0.11661970920973766,0.2595271474675507,0.0,20000,-0.4258455256545701,-0.5531022081425766,-0.2945329603324044,0.0,20000
median,onionnet-2,1,gnina-apo,gnina-af3,285,0.06908769298806516,-0.018325773220650595,0.15706489846745697,0.123,20000,-0.3172997606962634,-0.4703696404724881,-0.16738258088065652,0.0,20000
median,onionnet-2,1,gnina-apo,alphafold3,285,0.002929800556635276,-0.08103592436366872,0.08734395981466957,0.9462,20000,0.030976993502195405,-0.11809366705902846,0.18112572642654803,0.6876,20000
median,onionnet-2,1,gnina-af3,alphafold3,285,-0.06533470223870808,-0.1573087831536021,0.022610205154088504,0.1439,20000,0.347305208104299,0.19981521956302917,0.4972923441181992,0.0,20000
median,onionnet-2,2,gnina-crystal,gnina-apo,284,0.15579880154580117,0.09183333121807229,0.2186219067290309,0.0,20000,-0.41088558777321704,-0.5372751023711163,-0.27843953859617376,0.0,20000
median,onionnet-2,2,gnina-crystal,gnina-af3,284,0.22268282675987572,0.1458646607242086,0.3002522464933558,0.0,20000,-0.7447715216145143,-0.8971986847402461,-0.5848848112824715,0.0,20000
median,onionnet-2,2,gnina-crystal,alphafold3,284,0.17739251880473939,0.10941015731542093,0.2500172456625359,0.0,20000,-0.39343771017762064,-0.5166215168271729,-0.265787546262767,0.0,20000
median,onionnet-2,2,gnina-apo,gnina-af3,285,0.0631035467934209,-0.008137213147919901,0.1362563010868185,0.081,20000,-0.3286883557372844,-0.4576858682096833,-0.20195364227554752,0.0,20000
median,onionnet-2,2,gnina-apo,alphafold3,285,0.0209997890022936,-0.05584990417172318,0.09939765869197445,0.5935,20000,0.017615343894320068,-0.12087046578158372,0.1561291399480707,0.8039,20000
median,onionnet-2,2,gnina-af3,alphafold3,285,-0.04196022943483013,-0.12436475929413668,0.03883106448202275,0.3093,20000,0.3454774374716162,0.209967498016852,0.4848081587051191,0.0,20000
median,onionnet-2,3,gnina-crystal,gnina-apo,284,0.17294142698641124,0.11057752212303154,0.23589244228787778,0.0,20000,-0.43975267270456253,-0.560566381012697,-0.3116754421578697,0.0,20000
median,onionnet-2,3,gnina-crystal,gnina-af3,284,0.23107040741659868,0.15488995300684993,0.30889616409547643,0.0,20000,-0.7483910348917767,-0.895534636492059,-0.5923472408545218,0.0,20000
median,onionnet-2,3,gnina-crystal,alphafold3,284,0.1725518544900982,0.10162802044803881,0.24804052426779266,0.0,20000,-0.3764031673174414,-0.5051531721488506,-0.2459260187871285,0.0,20000
median,onionnet-2,3,gnina-apo,gnina-af3,285,0.0538828175171262,-0.01604979145395839,0.12445357111068615,0.1329,20000,-0.30380149811957424,-0.42477687665530167,-0.18387331683992678,0.0,20000
median,onionnet-2,3,gnina-apo,alphafold3,285,-0.0017029201838228425,-0.08420977863260676,0.08107554273938225,0.9701,20000,0.06349379342111194,-0.07943578038018649,0.20887944392717087,0.3806,20000
median,onionnet-2,3,gnina-af3,alphafold3,285,-0.055727455504639756,-0.13845170559328362,0.02561450492795271,0.1847,20000,0.36790803009313167,0.23070521412109374,0.5051836075967504,0.0,20000
median,onionnet-2,5,gnina-crystal,gnina-apo,284,0.14938170714450894,0.08910731804696531,0.2099316155580699,0.0,20000,-0.39106668194304917,-0.5061629538250169,-0.26822327345259594,0.0,20000
median,onionnet-2,5,gnina-crystal,gnina-af3,284,0.22871883445091135,0.15540401291449588,0.3033933203330744,0.0,20000,-0.725232012782092,-0.8643568481630486,-0.5782424299556249,0.0,20000
median,onionnet-2,5,gnina-crystal,alphafold3,284,0.15836082598210183,0.08875449593448838,0.23190489147146642,0.0,20000,-0.335354316940484,-0.4588453734766798,-0.2075869623540492,0.0,20000
median,onionnet-2,5,gnina-apo,gnina-af3,285,0.07542510286090606,0.012129712642524665,0.141778961898977,0.0208,20000,-0.33010617436471845,-0.4428320284631601,-0.22100457707697052,0.0,20000
median,onionnet-2,5,gnina-apo,alphafold3,285,0.007995156086571531,-0.07563055629133757,0.0922717049118852,0.8519,20000,0.05616540279686,-0.08837533657795216,0.2016784209877315,0.4497,20000
median,onionnet-2,5,gnina-af3,alphafold3,285,-0.06766786275966408,-0.1488778929881754,0.013244461379533173,0.1003,20000,0.38612313881653293,0.2526827157065965,0.5199760506657171,0.0,20000
median,onionnet-2,10,gnina-crystal,gnina-apo,284,0.1098663056875549,0.05124088573582519,0.1672871238585066,0.0005,20000,-0.3162015369840494,-0.42317083983683595,-0.20206654026553145,0.0,20000
median,onionnet-2,10,gnina-crystal,gnina-af3,284,0.2022183119961242,0.13359027294043072,0.27252329108620044,0.0,20000,-0.6505935655236017,-0.7769733459345913,-0.5176207785036453,0.0,20000
median,onionnet-2,10,gnina-crystal,alphafold3,284,0.12050869934687419,0.050030547983454556,0.1962532829634991,0.0005,20000,-0.22956563231059546,-0.3579083939227042,-0.10070891129902274,0.0004,20000
median,onionnet-2,10,gnina-apo,gnina-af3,285,0.08883744290555717,0.027583591831461134,0.15310743628978926,0.0048,20000,-0.3306308215607028,-0.4405265743406671,-0.22684180724135658,0.0,20000
median,onionnet-2,10,gnina-apo,alphafold3,285,0.009994043259358487,-0.07596759241577765,0.09844715231807563,0.8233,20000,0.08630700913338507,-0.06358132154893308,0.2370693728504179,0.2646,20000
median,onionnet-2,10,gnina-af3,alphafold3,285,-0.07944971085147201,-0.16253250479638104,0.0026352303087574407,0.0595,20000,0.4174179401413838,0.2849362271748784,0.5500163972690543,0.0,20000
median,onionnet-2,20,gnina-crystal,gnina-apo,284,0.06841092738850874,0.011239663799870495,0.1240562090208346,0.019,20000,-0.23708531736338867,-0.3391853720021337,-0.1300033900356443,0.0001,20000
median,onionnet-2,20,gnina-crystal,gnina-af3,284,0.1680940758934779,0.10146439147433339,0.2354643829203975,0.0,20000,-0.5721597124214474,-0.6938868648172991,-0.4474519183658519,0.0,20000
median,onionnet-2,20,gnina-crystal,alphafold3,284,0.08975779774508352,0.016288567082299706,0.16763964869277792,0.0167,20000,-0.13605441789512251,-0.2712919496770229,-0.0017577876569039152,0.0471,20000
median,onionnet-2,20,gnina-apo,gnina-af3,285,0.09574962141742224,0.034716593028632906,0.15945594706431512,0.0025,20000,-0.3314739812067301,-0.4372446871972907,-0.23126017739470997,0.0,20000
median,onionnet-2,20,gnina-apo,alphafold3,285,0.019896535056294407,-0.0640147824842669,0.10678676670018238,0.6468,20000,0.10079837688867299,-0.04602963682312131,0.24776220635618731,0.1837,20000
median,onionnet-2,20,gnina-af3,alphafold3,285,-0.07635231210725119,-0.15942432489478126,0.007870014421926247,0.0759,20000,0.4321552747298777,0.2998948298661588,0.5655960047496134,0.0,20000
median,onionnet-2,30,gnina-crystal,gnina-apo,284,0.05372137393163834,-0.0023452105293598545,0.10824265122598736,0.06,20000,-0.19700773964916074,-0.29184474488653084,-0.09507730983667215,0.0003,20000
median,onionnet-2,30,gnina-crystal,gnina-af3,284,0.15410864561514304,0.08810083241181584,0.22164247528511677,0.0,20000,-0.5290042774792686,-0.645888550500466,-0.4088844688339057,0.0,20000
median,onionnet-2,30,gnina-crystal,alphafold3,284,0.07703601763492318,0.0024968833756760073,0.15672455434789026,0.0427,20000,-0.08742231980872373,-0.22331384650988212,0.04730766326639469,0.2075,20000
median,onionnet-2,30,gnina-apo,gnina-af3,285,0.09684554644875576,0.03627347503497198,0.15941841961735403,0.0018,20000,-0.32893138828006097,-0.4317172035762037,-0.22967470279084687,0.0,20000
median,onionnet-2,30,gnina-apo,alphafold3,285,0.022105535429626733,-0.062027473501652636,0.10908218800969284,0.6107,20000,0.10873197979177252,-0.03680223006590595,0.25427322253065876,0.1465,20000
median,onionnet-2,30,gnina-af3,alphafold3,285,-0.07528370015470742,-0.1586680678630525,0.009183977319326256,0.0818,20000,0.4376355146170362,0.30514379405591113,0.5715745284743899,0.0,20000
median,onionnet-2,50,gnina-crystal,gnina-apo,284,0.04439084534080273,-0.011182002962317122,0.09721628084429064,0.1136,20000,-0.1605007371522782,-0.2495590999765558,-0.0636245412969288,0.0013,20000
median,onionnet-2,50,gnina-crystal,gnina-af3,284,0.14386626237692318,0.0790269691590726,0.20918738882996257,0.0,20000,-0.48598778785834684,-0.5952074105073274,-0.3722992841841111,0.0,20000
median,onionnet-2,50,gnina-crystal,alphafold3,284,0.06494633597689486,-0.011517791071062574,0.1460492571076096,0.0993,20000,-0.03383633828292876,-0.171686387774843,0.10172855121809374,0.6268,20000
median,onionnet-2,50,gnina-apo,gnina-af3,285,0.09655432362410349,0.037602925179033186,0.15796650004142504,0.0014,20000,-0.32327890627863576,-0.4198051551395222,-0.22925172997610915,0.0,20000
median,onionnet-2,50,gnina-apo,alphafold3,285,0.02005313396387237,-0.06421505695214562,0.10695309298806688,0.6455,20000,0.12462714775995787,-0.018516184282161917,0.26726520154125133,0.091,20000
median,onionnet-2,50,gnina-af3,alphafold3,285,-0.0772979591348748,-0.15972715191779224,0.007406736844588218,0.0757,20000,0.4478000846848659,0.3154648026133107,0.5816830639125644,0.0,20000
median,onionnet-2,100,gnina-crystal,gnina-apo,284,0.021847551631312745,-0.03383084233444358,0.0754204835593894,0.4276,20000,-0.08613810014140966,-0.1731509016013319,0.0063315542471167234,0.0662,20000
median,onionnet-2,100,gnina-crystal,gnina-af3,284,0.11894976573097787,0.05712851118462421,0.18155708420129582,0.0003,20000,-0.40410986740528476,-0.505869710770474,-0.2987661523728694,0.0,20000
median,onionnet-2,100,gnina-crystal,alphafold3,284,0.05700181819863348,-0.02389587309423776,0.14330555277533316,0.1726,20000,0.028734907628789497,-0.1149581119280274,0.16743967358671216,0.6964,20000
median,onionnet-2,100,gnina-apo,gnina-af3,285,0.09515582794758526,0.03766578487376863,0.15481280069429854,0.0015,20000,-0.3163683736357277,-0.41050503198087784,-0.22536966946748346,0.0,20000
median,onionnet-2,100,gnina-apo,alphafold3,285,0.03481943024812839,-0.054935956544302944,0.12734985636227944,0.4569,20000,0.11299480494750969,-0.03735737817930252,0.2636580790341387,0.1453,20000
median,onionnet-2,100,gnina-af3,alphafold3,285,-0.06100442595769018,-0.14274472588764114,0.023740513351346568,0.1559,20000,0.42908448232888585,0.2965158963989354,0.5611219800896919,0.0,20000
