method,source,model,n_poses,n_targets,pcc,pcc_ci_low,pcc_ci_high,rmse,rmse_ci_low,rmse_ci_high,n_boot_pcc,n_boot_rmse
mean,gnina-crystal,egna,50,283,0.7660672741495265,0.7130933416080293,0.8123717671882162,1.5860336727261075,1.457562071842091,1.7109240654227433,20000,20000
mean,gnina-crystal,egna,100,283,0.7562082903885243,0.7021955704597858,0.8040220187685084,1.6179329191770957,1.4889201444010345,1.7440186299761509,20000,20000
mean,gnina-crystal,ehign_pla,1,282,0.8240761949935167,0.7847629017361702,0.8588855798610325,1.2645497745553376,1.1546842176424648,1.3740271774188202,20000,20000
mean,gnina-crystal,ehign_pla,2,282,0.8268720772933821,0.7874202177682119,0.8612364446873154,1.2775690293687998,1.1716050046499142,1.3793273639708659,20000,20000
mean,gnina-crystal,ehign_pla,3,282,0.8258313175237885,0.7858755140531614,0.8606427529500754,1.3002040082897144,1.196308890273359,1.4010464069392654,20000,20000
mean,gnina-crystal,ehign_pla,5,282,0.8170548845054166,0.7752897328214475,0.8535119159002373,1.3621356822386017,1.247099011293186,1.4744601568691196,20000,20000
mean,gnina-crystal,ehign_pla,10,282,0.7937105900608252,0.7463058963448415,0.8346935903056742,1.4846327105395973,1.3549110297975624,1.6161130665510695,20000,20000
mean,gnina-crystal,ehign_pla,20,282,0.7588713077031006,0.7044336027059814,0.8066038351103849,1.6409633994296762,1.495789055041473,1.7893265932431723,20000,20000
mean,gnina-crystal,ehign_pla,30,282,0.7404566992106454,0.6829457420848528,0.7909063500903951,1.7332486645363379,1.5830844152327674,1.8859978552254486,20000,20000
mean,gnina-crystal,ehign_pla,50,282,0.7265049272404728,0.6659399635778417,0.7799809736376458,1.8247351309337043,1.669137268737216,1.9825510591930755,20000,20000
mean,gnina-crystal,ehign_pla,100,283,0.6989806501225653,0.634913202629458,0.7559284314124414,1.9715190187295815,1.808866138941223,2.131841539036635,20000,20000
mean,gnina-crystal,gign,1,282,0.8200573347789085,0.7771662513980776,0.8573558951077843,1.2540648574930744,1.1459900023526448,1.3616005169045937,20000,20000
