method,source,model,n_poses,pcc,rmse,n_targets
mean,gnina-apo,onionnet-2,10,0.617268533230788,1.9371597307528683,285
mean,gnina-apo,onionnet-2,20,0.6202042416204705,1.9627519470323564,285
mean,gnina-apo,onionnet-2,30,0.6210730484232503,1.9738772537521125,285
mean,gnina-apo,onionnet-2,50,0.6212827107699305,1.9868433404580517,285
mean,gnina-apo,onionnet-2,100,0.6237540966551256,1.9979512210169732,285
mean,gnina-af3,dynaformer,1,0.4633233167006499,2.197112272338038,285
mean,gnina-af3,dynaformer,2,0.5077628323024891,2.1432974525942585,285
mean,gnina-af3,dynaformer,3,0.5004782898997062,2.1580494553834053,285
mean,gnina-af3,dynaformer,5,0.5128203497940452,2.1542800739954178,285
mean,gnina-af3,dynaformer,10,0.49652091681409516,2.178357151378441,285
mean,gnina-af3,dynaformer,20,0.487117211691645,2.1941186779316433,285
mean,gnina-af3,dynaformer,30,0.484246799155214,2.203816285926734,285
mean,gnina-af3,dynaformer,50,0.48505777136099454,2.205422868051902,285
mean,gnina-af3,dynaformer,100,0.48815616377347465,2.202854095141315,285
mean,gnina-af3,egna,1,0.5894012363022779,1.9888367401441902,285
mean,gnina-af3,egna,2,0.6122902092567507,1.9714145558144773,285
mean,gnina-af3,egna,3,0.6092733336964967,1.9796746144120172,285
mean,gnina-af3,egna,5,0.6120235739199844,1.9876013649534736,285
mean,gnina-af3,egna,10,0.6079054232855484,2.005932894051692,285
mean,gnina-af3,egna,20,0.6048647243265208,2.0181740340302103,285
mean,gnina-af3,egna,30,0.6057989859602528,2.022079588800311,285
mean,gnina-af3,egna,50,0.6068668817996398,2.025447486833735,285
mean,gnina-af3,egna,100,0.6119700788540711,2.025330594375893,285
mean,gnina-af3,ehign_pla,1,0.5377610795268684,2.2623734815100778,284
mean,gnina-af3,ehign_pla,2,0.5637605401854794,2.260276404127078,284
mean,gnina-af3,ehign_pla,3,0.5663409059385373,2.2677683291232045,284
mean,gnina-af3,ehign_pla,5,0.5672932870098253,2.2828618816466495,284
