method,n_poses,source_a,source_b,n_targets,delta_pcc_a_minus_b,delta_pcc_ci_low,delta_pcc_ci_high,delta_pcc_p_two_sided,n_boot_pcc,delta_rmse_a_minus_b,delta_rmse_ci_low,delta_rmse_ci_high,delta_rmse_p_two_sided,n_boot_rmse
mean,20,gnina-apo,gnina-af3,284,0.06438643241855646,0.013608068070416606,0.11436452924873362,0.0136,20000,-0.22094444279246317,-0.30028442739822475,-0.14250320357112514,0.0,20000
mean,20,gnina-apo,alphafold3,270,-0.09247182000158927,-0.15798291243584228,-0.028537921090938088,0.0059,20000,0.36668295453548483,0.23623078920600182,0.500480646916828,0.0,20000
mean,20,gnina-af3,alphafold3,270,-0.15757203365949102,-0.22835581501414354,-0.09056060729838782,0.0,20000,0.5811668307850346,0.4478071018058164,0.7179465360677009,0.0,20000
mean,30,gnina-crystal,gnina-apo,282,0.10733488177769479,0.06518236675122527,0.15182226596641468,0.0,20000,-0.31018252855209827,-0.39322467888107016,-0.2276497421219236,0.0,20000
mean,30,gnina-crystal,gnina-af3,282,0.18722828018495263,0.13698025419269297,0.23893936120578999,0.0,20000,-0.5447630824334868,-0.638094581158746,-0.4493839882674726,0.0,20000
mean,30,gnina-crystal,alphafold3,269,0.023609191334083568,-0.03107151778281587,0.07946257723205613,0.4091,20000,0.06788375902958887,-0.04493539018105043,0.18287428332541464,0.2382,20000
mean,30,gnina-apo,gnina-af3,284,0.07717322777467006,0.030242776803130506,0.12418322813844906,0.0008,20000,-0.231554422312104,-0.3067607369490123,-0.15729201634057965,0.0,20000
mean,30,gnina-apo,alphafold3,270,-0.08420469302965206,-0.1498331846021029,-0.019829818966567693,0.0121,20000,0.3692919345510104,0.23851437950614843,0.5028856977036512,0.0,20000
mean,30,gnina-af3,alphafold3,270,-0.16228159155612354,-0.23416335063676208,-0.093960586328311,0.0,20000,0.5952165686686413,0.46009122981901057,0.7341100985425159,0.0,20000
mean,50,gnina-crystal,gnina-apo,282,0.09895399300856467,0.0554426200736698,0.1449243962646535,0.0001,20000,-0.2755693234000913,-0.3588383558656241,-0.19432046321756213,0.0,20000
mean,50,gnina-crystal,gnina-af3,282,0.17844251367342512,0.12914104679736393,0.22954119979669582,0.0,20000,-0.5010247913691532,-0.590265855627026,-0.4103281272316299,0.0,20000
mean,50,gnina-crystal,alphafold3,269,0.012718047684009748,-0.04423417858340424,0.07035064579361,0.6752,20000,0.12068898310849185,0.0044894787174542565,0.23906481515215633,0.0415,20000
mean,50,gnina-apo,gnina-af3,284,0.07715862011450259,0.02980452233414215,0.12426196565380722,0.001,20000,-0.22278491098573783,-0.29589020912467406,-0.15024574154429332,0.0,20000
mean,50,gnina-apo,alphafold3,270,-0.08584006928795829,-0.1522810639207616,-0.020724821759881187,0.0126,20000,0.38622595305891894,0.2546781502113335,0.5198473822084073,0.0,20000
mean,50,gnina-af3,alphafold3,270,-0.16469693389157425,-0.23667151791566124,-0.0959592017682547,0.0,20000,0.605740300183474,0.4711424066495243,0.7440444853789127,0.0,20000
mean,100,gnina-crystal,gnina-apo,282,0.07976176460446704,0.03574636924350153,0.12613510331229535,0.0005,20000,-0.22583517694289634,-0.30658064547793745,-0.1474577941061512,0.0,20000
mean,100,gnina-crystal,gnina-af3,282,0.15415857433175828,0.10631441524639813,0.20287826352277236,0.0,20000,-0.43244865896688767,-0.5160383143764504,-0.34807351589841135,0.0,20000
mean,100,gnina-crystal,alphafold3,269,-0.006848459694361098,-0.06672129739401397,0.05356318991993436,0.818,20000,0.19388941956321193,0.07570702567247739,0.31455048918936157,0.0012,20000
mean,100,gnina-apo,gnina-af3,284,0.07224519919958727,0.02542166549967688,0.11858406801526378,0.002,20000,-0.2043039247596279,-0.27392123768283244,-0.13472114400511645,0.0,20000
mean,100,gnina-apo,alphafold3,270,-0.08740530170494187,-0.15506131635227632,-0.021051979984134172,0.0129,20000,0.410296866346902,0.27766719647289834,0.545420015586754,0.0,20000
mean,100,gnina-af3,alphafold3,270,-0.16126384032207453,-0.23038665672619932,-0.09396310947661222,0.0,20000,0.6125300396930293,0.4806645108715417,0.7483059988689454,0.0,20000
median,1,gnina-crystal,gnina-apo,280,0.21665883581970535,0.16173660076317212,0.27491641286324275,0.0,20000,-0.5609913201260948,-0.6874848725694453,-0.4351572648069123,0.0,20000
median,1,gnina-crystal,gnina-af3,282,0.2839142637147968,0.22304262365050684,0.34817619601229366,0.0,20000,-0.8253336914844533,-0.962530972325701,-0.6858239102249132,0.0,20000
median,1,gnina-crystal,alphafold3,269,0.1148280065438323,0.0691489438189571,0.1650698661560111,0.0,20000,-0.28956070811848167,-0.39593253128184036,-0.185273642538673,0.0,20000
median,1,gnina-apo,gnina-af3,282,0.06192561478904146,-0.0013719221103079549,0.12654441576346137,0.0551,20000,-0.24904696435912932,-0.36386312467278176,-0.13551225365210662,0.0,20000
